Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDF57,14.502086653889846,Regular,0.0015733318407441,Fruits and Vegetables,169.62054317034952,OUT035,2004,Small,Tier 2,Supermarket Type1,2045.35961621949
FDE56,12.85764826488396,Regular,0.1632140932894423,Fruits and Vegetables,62.43090517091218,OUT027,1985,Medium,Tier 3,Supermarket Type3,2291.019931594245
FDN16,12.604193479832912,Regular,0.0562346034019398,Frozen Foods,105.10878355233226,OUT045,2002,Medium,Tier 2,Supermarket Type1,1444.766235752974
FDH40,11.6,Regular,0.078929571,Frozen Foods,79.9276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864
FDP39,12.622015558550252,Low Fat,0.063577440052109,Meat,51.82663408176265,OUT049,1999,Medium,Tier 1,Supermarket Type1,1090.5903642522626
NCM29,11.5,Low Fat,0.017678008,Health and Hygiene,129.2626,OUT045,2002,Medium,Tier 2,Supermarket Type1,1705.1138
FDQ20,8.323068651120455,Low Fat,0.0278731920580532,Fruits and Vegetables,38.71884534745331,OUT013,1987,High,Tier 3,Supermarket Type1,284.3110703145653
FDT50,6.756088784704317,Regular,0.0902856411891285,Dairy,96.37705355557712,OUT035,2004,Small,Tier 2,Supermarket Type1,1342.2714002840028
FDH45,15.1,Regular,0.105881129,Fruits and Vegetables,42.0796,OUT045,2002,Medium,Tier 2,Supermarket Type1,454.0756
FDE29,8.914950964345733,LF,0.1490699405473852,Frozen Foods,60.28340654803248,OUT018,2009,Medium,Tier 3,Supermarket Type2,1151.175833376535
NCW53,18.36529550106157,Low Fat,0.0031149740514492,Health and Hygiene,194.0043490059869,OUT018,2009,Medium,Tier 3,Supermarket Type2,2886.2434015589924
FDK24,9.178466367891277,Low Fat,0.0937130438641701,Baking Goods,45.282142667182114,OUT045,2002,Medium,Tier 2,Supermarket Type1,679.119465313789
NCQ30,7.725,LF,0.048661041,Household,123.7414,OUT010,1998,Medium,Tier 3,Grocery Store,121.8414
FDI56,7.320628954099238,Low Fat,0.1543150353330075,Fruits and Vegetables,92.21864552947808,OUT010,1998,Medium,Tier 3,Grocery Store,91.23778240044766
FDX03,15.863230831091036,Regular,0.045869497705538,Meat,45.67200327910583,OUT045,2002,Medium,Tier 2,Supermarket Type1,633.8245397147145
FDX38,10.490221672327127,Regular,0.0445572804046698,Dairy,45.97192849245254,OUT046,1997,Small,Tier 1,Supermarket Type1,575.2605924827884
FDP19,11.506927503072204,LF,0.3095179307976422,Fruits and Vegetables,130.66742891456204,OUT010,1998,Medium,Tier 3,Grocery Store,258.33343816964765
FDM15,11.785571818805428,Regular,0.0541447116395514,Meat,149.53398866887386,OUT035,2004,Small,Tier 2,Supermarket Type1,1813.642208526504
FDS33,12.85764826488396,Regular,0.1959187239590878,Snack Foods,86.85191643799577,OUT019,1985,Small,Tier 1,Grocery Store,354.187619291153
NCI43,19.84776698968276,Low Fat,0.027892836868661,Household,49.53025849049656,OUT046,1997,Small,Tier 1,Supermarket Type1,1006.6768538472234
FDT12,6.22183197050758,Regular,0.0509164238313056,Baking Goods,226.6249673975028,OUT018,2009,Medium,Tier 3,Supermarket Type2,677.1105773466245
DRH25,18.71203241480985,Low Fat,0.0046126916957901,Soft Drinks,50.83995567230652,OUT017,2007,Medium,Tier 2,Supermarket Type1,934.7880108662785
FDA23,9.821698779709322,LF,0.0431599080910794,Baking Goods,101.69087026482782,OUT017,2007,Medium,Tier 2,Supermarket Type1,1517.9997876425457
FDU20,12.85764826488396,Regular,0.021353642,Fruits and Vegetables,122.1098,OUT027,1985,Medium,Tier 3,Supermarket Type3,3374.2744
FDM34,19.005102531371,Low Fat,0.1142686544670678,Snack Foods,131.0482071330785,OUT010,1998,Medium,Tier 3,Grocery Store,524.6528758523734
